iter	Passed	Remaining
0	3	1152
1	8	1201
2	12	1201
3	15	1161
4	19	1130
5	22	1122
6	27	1133
7	30	1125
8	34	1125
9	38	1124
10	42	1120
11	46	1124
12	50	1125
13	54	1113
14	58	1120
15	63	1122
16	67	1121
17	71	1120
18	75	1118
19	78	1099
20	82	1098
21	85	1081
22	89	1078
23	93	1076
24	97	1074
25	101	1072
26	105	1067
27	108	1056
28	112	1054
29	116	1051
30	120	1047
31	124	1044
32	128	1041
33	132	1037
34	136	1034
35	140	1031
36	144	1029
37	148	1025
38	152	1022
39	156	1016
40	160	1013
41	164	1009
42	168	1006
43	171	1000
44	175	997
45	179	992
46	183	988
47	187	983
48	191	980
49	195	977
50	199	973
51	203	970
52	206	962
53	210	958
54	214	953
55	217	949
56	221	946
57	225	941
58	229	938
59	233	935
60	237	932
61	242	929
62	245	925
63	249	921
64	254	918
65	257	914
66	261	909
67	265	905
68	269	902
69	273	898
70	276	891
71	280	887
72	284	884
73	288	881
74	292	878
75	296	874
76	300	870
77	304	866
78	308	863
79	312	859
80	316	854
81	320	851
82	324	847
83	327	842
84	331	839
85	335	835
86	339	831
87	343	828
88	348	825
89	352	821
90	356	818
91	360	814
92	364	810
93	368	806
94	372	802
95	375	798
96	377	790
97	381	786
98	385	783
99	389	779
100	393	775
101	397	771
102	401	767
103	405	763
104	409	760
105	413	756
106	416	751
107	420	747
108	424	743
109	427	738
110	431	734
111	434	729
112	438	726
113	440	719
114	443	713
115	447	709
116	450	705
117	455	701
118	459	698
119	463	694
120	467	691
121	471	687
122	475	684
123	479	680
124	483	676
125	485	671
126	489	667
127	493	662
128	497	658
129	499	653
130	502	647
131	505	643
132	508	638
133	512	634
134	516	631
135	520	627
136	524	624
137	528	620
138	532	616
139	535	612
140	538	607
141	542	603
142	546	599
143	550	596
144	554	592
145	558	588
146	562	585
147	565	580
148	567	575
149	570	570
150	572	564
151	575	560
152	580	557
153	583	553
154	587	549
155	591	545
156	595	542
157	599	538
158	603	535
159	607	531
160	611	527
161	615	524
162	619	520
163	623	517
164	627	513
165	629	508
166	634	505
167	638	501
168	642	498
169	646	494
170	650	490
171	654	486
172	657	482
173	661	478
174	665	475
175	669	471
176	673	467
177	677	464
178	679	459
179	682	454
180	685	451
181	690	447
182	693	443
183	697	439
184	700	435
185	704	431
186	708	428
187	711	424
188	715	420
189	718	415
190	721	412
191	725	408
192	729	404
193	733	400
194	737	397
195	741	393
196	745	389
197	750	386
198	752	382
199	756	378
200	760	374
201	764	370
202	768	367
203	772	363
204	776	359
205	780	356
206	784	352
207	788	348
208	792	345
209	795	340
210	799	337
211	803	333
212	807	329
213	811	326
214	815	322
215	819	318
216	823	314
217	827	311
218	831	307
219	835	303
220	839	300
221	843	296
222	847	292
223	851	288
224	855	285
225	859	281
226	863	277
227	868	274
228	872	270
229	876	266
230	880	262
231	884	259
232	888	255
233	892	251
234	896	247
235	900	244
236	904	240
237	908	236
238	912	232
239	916	229
240	920	225
241	924	221
242	928	217
243	933	214
244	937	210
245	941	206
246	945	202
247	949	199
248	953	195
249	957	191
250	961	187
251	965	183
252	969	180
253	974	176
254	978	172
255	982	168
256	986	165
257	990	161
258	994	157
259	998	153
260	1002	149
261	1006	145
262	1010	142
263	1014	138
264	1018	134
265	1022	130
266	1026	126
267	1030	123
268	1034	119
269	1038	115
270	1042	111
271	1046	107
272	1050	103
273	1054	100
274	1058	96
275	1062	92
276	1066	88
277	1070	84
278	1073	80
279	1077	76
280	1082	73
281	1086	69
282	1090	65
283	1094	61
284	1098	57
285	1102	53
286	1106	50
287	1111	46
288	1114	42
289	1118	38
290	1122	34
291	1126	30
292	1130	27
293	1134	23
294	1138	19
295	1142	15
296	1146	11
297	1150	7
298	1154	3
299	1158	0
