iter	Passed	Remaining
0	4	1480
1	9	1426
2	12	1255
3	17	1330
4	22	1304
5	24	1222
6	28	1185
7	33	1238
8	38	1257
9	43	1251
10	47	1259
11	53	1279
12	57	1276
13	62	1279
14	69	1318
15	74	1315
16	78	1301
17	86	1357
18	91	1360
19	97	1370
20	104	1386
21	108	1370
22	113	1369
23	119	1376
24	124	1370
25	129	1365
26	135	1371
27	140	1360
28	148	1384
29	153	1384
30	159	1383
31	164	1379
32	170	1376
33	176	1378
34	183	1391
35	188	1384
36	194	1379
37	200	1385
38	206	1382
39	213	1385
40	216	1368
41	221	1361
42	226	1354
43	232	1350
44	237	1343
45	242	1336
46	247	1330
47	252	1325
48	257	1317
49	261	1307
50	266	1301
51	271	1294
52	276	1288
53	281	1281
54	286	1274
55	291	1268
56	296	1264
57	301	1259
58	306	1252
59	311	1247
60	316	1239
61	320	1232
62	326	1227
63	331	1222
64	336	1215
65	340	1207
66	345	1201
67	350	1195
68	355	1188
69	359	1182
70	365	1178
71	370	1172
72	374	1165
73	380	1160
74	385	1155
75	388	1145
76	393	1140
77	398	1133
78	403	1127
79	407	1121
80	412	1115
81	417	1109
82	422	1103
83	426	1097
84	430	1089
85	435	1083
86	439	1077
87	445	1072
88	450	1067
89	455	1063
90	461	1060
91	466	1054
92	470	1046
93	476	1043
94	480	1036
95	486	1033
96	492	1030
97	497	1026
98	502	1021
99	508	1016
100	513	1011
101	518	1005
102	522	1000
103	527	994
104	532	989
105	536	982
106	542	978
107	547	974
108	554	970
109	559	966
110	564	960
111	568	954
112	573	949
113	579	944
114	583	939
115	588	933
116	593	928
117	598	923
118	603	918
119	610	915
120	615	910
121	619	904
122	624	898
123	630	894
124	632	886
125	637	880
126	642	874
127	646	869
128	651	863
129	656	857
130	661	852
131	665	846
132	669	841
133	675	836
134	677	828
135	682	822
136	686	817
137	692	812
138	696	807
139	701	801
140	706	796
141	710	790
142	715	785
143	719	779
144	724	774
145	729	769
146	733	763
147	738	758
148	743	753
149	748	748
150	753	743
151	759	739
152	765	735
153	769	729
154	774	724
155	779	719
156	783	713
157	788	708
158	793	703
159	796	696
160	800	691
161	806	686
162	810	681
163	815	676
164	820	671
165	825	666
166	830	661
167	834	655
168	839	650
169	843	645
170	848	640
171	852	634
172	857	629
173	861	624
174	866	618
175	871	614
176	876	609
177	880	603
178	886	599
179	890	593
180	895	588
181	898	582
182	902	577
183	907	572
184	912	567
185	917	562
186	922	557
187	926	552
188	931	547
189	936	542
190	941	537
191	946	532
192	951	527
193	956	522
194	960	517
195	964	511
196	970	507
197	974	501
198	978	496
199	983	491
200	988	487
201	993	481
202	997	476
203	1003	472
204	1007	467
205	1012	462
206	1017	457
207	1022	452
208	1027	447
209	1031	442
210	1036	437
211	1041	432
212	1045	427
213	1051	422
214	1056	417
215	1061	412
216	1065	407
217	1071	403
218	1076	398
219	1082	393
220	1088	389
221	1094	384
222	1100	379
223	1106	375
224	1111	370
225	1117	366
226	1123	361
227	1129	356
228	1135	352
229	1140	347
230	1145	342
231	1151	337
232	1156	332
233	1161	327
234	1167	323
235	1173	318
236	1177	313
237	1183	308
238	1188	303
239	1193	298
240	1199	293
241	1204	288
242	1209	283
243	1215	279
244	1220	274
245	1226	269
246	1232	264
247	1239	259
248	1244	254
249	1250	250
250	1255	245
251	1260	240
252	1266	235
253	1272	230
254	1277	225
255	1283	220
256	1288	215
257	1293	210
258	1300	205
259	1307	201
260	1313	196
261	1319	191
262	1324	186
263	1330	181
264	1335	176
265	1340	171
266	1347	166
267	1353	161
268	1361	156
269	1366	151
270	1373	146
271	1378	141
272	1384	136
273	1389	131
274	1395	126
275	1400	121
276	1405	116
277	1411	111
278	1417	106
279	1422	101
280	1427	96
281	1432	91
282	1438	86
283	1442	81
284	1449	76
285	1454	71
286	1460	66
287	1465	61
288	1470	55
289	1475	50
290	1481	45
291	1486	40
292	1491	35
293	1496	30
294	1501	25
295	1506	20
296	1511	15
297	1516	10
298	1521	5
299	1527	0
